"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
0.6,"indep",10,10,-1.26286432215413,-0.806656737008463,-1.05896849246308,0.456207585145665,0.203895829691048,3.3697783406375,0.36618914695714,206.937087466696,-66.645571646806,0.794240962294985,1.06736816782829,0.795380053066958,0.723271421882316,652687956,640700000,0.00812305208949479,0.013090270511644,0.0725263944657099,0.00112127430550978,0.00504003984109628,0.00558920831580079
0.7,"indep",10,10,-0.965510768280782,-0.740694200504933,-0.964828031125708,0.224816567775848,0.000682737155073387,3.04328637508794,0.354810239329412,177.346034936552,-67.6648199004742,0.694441460237313,1.04744415031894,0.848737201365188,0.768737201365188,746145825,732500000,0.00767750489751686,0.0122393010039118,0.0658874317490042,0.00111045294072765,0.00418647854960188,0.00492649473656544
0.8,"indep",10,10,-0.757063866314888,-0.636209463809254,-0.810451757698821,0.120854402505634,-0.0533878913839334,2.41225978536181,0.338826957167827,152.358787827748,-64.5535855163244,0.64165008181674,0.979088556321556,0.87583765330636,0.801997724111771,806035548,790900000,0.00708633300366636,0.0109936532373898,0.0564541645158391,0.00112485364396792,0.00370805335363872,0.00448085480223011
0.9,"indep",10,10,-0.593721751187363,-0.558210424057464,-0.700081200493985,0.0355113271298984,-0.106359449306622,2.08618557453957,0.324654168122867,144.405603258936,-61.9653693425095,0.612094741231796,0.92993941658218,0.897171029463552,0.81969714755253,868114902,851900000,0.00662091038445488,0.0100098272096657,0.0506334183507924,0.001128305777171,0.00329079671806993,0.00416517930117791
1,"indep",10,10,-0.458145365937078,-0.463882936404809,-0.567933675495288,-0.00573757046773171,-0.109788309558211,1.59503155634768,0.307905118272002,121.205236110204,-57.2985097907041,0.578412908447999,0.85617549997415,0.913517768780927,0.850314889788574,906356915,889200000,0.00613396514444382,0.00900507245202362,0.0426407038836908,0.00112872832307607,0.00298072709579694,0.00378337566178113
1.2,"indep",10,10,-0.2390179004715,-0.27592467380151,-0.325969342798074,-0.0369067733300102,-0.0869514423265744,0.969606433448798,0.268122705252362,82.6917764642554,-49.4807257427891,0.533966510917206,0.733647223641802,0.91674550614948,0.869757174392936,969225997,951300000,0.00546183067181509,0.00746929300803014,0.0305377002968268,0.00114769932999893,0.00283249719801628,0.00345077915818824
1.4,"indep",10,10,-0.0639166857549427,-0.103287158898838,-0.116992975619672,-0.0393704731438957,-0.0530762898647296,0.560624035483949,0.228005646824868,57.1252237632049,-36.09721308915,0.472991109134604,0.599651199097615,0.93067996742671,0.90625,1000259292,982400000,0.00475577366987802,0.00602654945924701,0.0211276332149209,0.00109712355506061,0.00256262692657225,0.00294079987394852
1.6,"indep",10,10,0.0827572192387867,0.0523851288747393,0.0589347256409307,-0.0303720903640473,-0.0238224935978559,0.309389719185124,0.190442694399059,40.9586467493798,-13.2338832831917,0.408075457272687,0.469079064667926,0.937820190858865,0.929482672024109,1012375073,995500000,0.0040788283812827,0.00469554974769128,0.0133470323117366,0.000996069318459903,0.00242027017756833,0.00256594852958068
1.8,"indep",10,10,0.209355167429093,0.194332484616968,0.20867494587661,-0.0150226828121248,-0.000680221552482901,0.167097658558303,0.156611536254904,28.6692834453971,20.5947128347716,0.35092106959795,0.360351858562004,0.936404606910366,0.941311967951928,1014462933,998500000,0.00350880183444306,0.00360639843920451,0.00585297944544752,0.000860037609335863,0.00244214004076527,0.00235216362202906
2,"indep",10,10,0.320926943086197,0.311841406717982,0.324640071819938,-0.00908553636821519,0.00371312873374041,0.118524527410578,0.129759469736081,21.8830558670638,33.436353172178,0.318390228226105,0.311846956849443,0.938769384692346,0.950075037518759,1014821075,999500000,0.0031835609122375,0.00311918439722772,0.00345887158403566,0.00071326784451473,0.00239812806471577,0.00217844413967482
