"theta","design","n1","n2","rho","true_lnM","delta_bias","rmse_delta","safe_bias_mean","rmse_mean","safe_bias_med","rmse_med","safe_bias_mode","rmse_mode","relbias_delta","relbias_safe","cover_delta","cover_safe","boot_keep","boot_total"
2,"indep",5,5,0,0.29389333245106,0.0170047697878321,0.532378519235562,0.0174247447091294,0.433655466909939,0.050406798195284,0.400771093034164,0.0935929438964303,0.359151618385994,-18.6064565381524,23.2954516764472,0.908998988877654,0.920121334681496,12140295,9890000
3,"indep",5,5,0,0.729307511349758,0.0448062640895102,0.371628104466286,0.0155622516001637,0.381878326836622,0.0140004192740019,0.355415825738554,0.00909421623921447,0.320526177047419,-12.325734387779,-6.02115616595741,0.931,0.938,12645557,1e+07
4,"indep",5,5,0,1.02706186684777,0.017607489732038,0.323049216321669,0.000185530952161894,0.334455802517975,-0.0189957102306502,0.320602400306227,-0.0488421307108444,0.304847868625216,-9.33575501301507,-9.45006764046544,0.94,0.938,12721354,1e+07
5,"indep",5,5,0,1.25479963118919,0.0571188108945442,0.307683103396371,0.0490684138765927,0.313101874392032,0.0191495909905137,0.302037625701696,-0.0275585456445004,0.292145289091252,-11.6751629031622,-11.0145516245777,0.93,0.94,12731594,1e+07
0.2,"indep",10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1404.86403418284,628.77349611623,NA,NA,4277579,3630000
0.3,"indep",10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,928.814746596137,418.194901733475,NA,NA,4964188,4150000
0.4,"indep",10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.575072454273,347.667517640876,NA,NA,5876104,4880000
0.5,"indep",10,10,0,-1.84443972705697,0.904568172471128,1.13180516072688,1.22773028193501,1.25795848924109,1.31827673421662,1.34351223332146,1.45527062332633,1.47404024839206,516.56577235883,287.847456944521,0.706618962432916,0.586762075134168,6756855,5590000
0.6,"indep",10,10,0,-1.26286432215413,0.483626240354093,0.797001949610088,0.718409740151557,0.777649114222741,0.805166010512701,0.852505973425132,0.935842193804089,0.967841217893553,317.12143455663,191.239497724826,0.79502196193265,0.840409956076135,8485993,6830000
0.7,"indep",10,10,0,-0.965510768280782,0.251759834681479,0.692533359277446,0.459259780329152,0.554172575025534,0.543235170308123,0.616012954549239,0.669329015774,0.716009262043119,186.676388140839,157.759556222616,0.838028169014085,0.890140845070423,8856299,7100000
0.8,"indep",10,10,0,-0.757063866314888,0.0910712580260237,0.634740368644586,0.277033069561958,0.425128598724434,0.359290495796251,0.468950411436097,0.481719237870304,0.548757185302704,181.949274661307,147.500336204754,0.883984867591425,0.926860025220681,10017728,7930000
0.9,"indep",10,10,0,-0.593721751187363,0.039168007035439,0.595690033068637,0.175075283736956,0.389876257783354,0.253412174056929,0.410997738762182,0.369499476743227,0.463996024631764,112.106669441852,102.386097569608,0.884057971014493,0.916666666666667,10605114,8280000
1,"indep",10,10,0,-0.458145365937078,0.0222022295307788,0.57384174741246,0.119286790292084,0.385815446503931,0.191500316467558,0.389557941401945,0.29499563978661,0.417457668496901,62.9072568296867,74.1047021877029,0.898401826484018,0.921232876712329,11465451,8760000
1.5,"indep",10,10,0,0.0123463062951856,-0.0372103569102379,0.468770081659249,-0.0297619682354262,0.376208029064189,0.0166298875190687,0.343532340955936,0.0801234714463355,0.309049535340266,-23.031239974793,31.5104195025368,0.928137651821862,0.935222672064777,13755147,9880000
2,"indep",10,10,0,0.320926943086197,-0.00530295127581759,0.329928049059051,-0.0176964255655028,0.341418167804669,0.00172666954468426,0.313995922208218,0.0257963737968421,0.281539347009733,-14.2942081366868,1.99288861584526,0.934,0.945,14362825,1e+07
3,"indep",10,10,0,0.740802270462108,0.0139231605318326,0.238273929817353,0.0206103466043323,0.246759855596169,0.0121800656664901,0.236974081160234,-0.000157521738621047,0.224077977570233,-6.2630903679154,3.34598623796247,0.94,0.952,14494760,1e+07
4,"indep",10,10,0,1.03343137973649,0.0145229649731073,0.206136893435418,0.0285095229144998,0.210502066066745,0.0115297773146807,0.204925851031694,-0.0137919849052273,0.199387956543443,-1.97816154653095,13.0923820942822,0.95,0.955,14496807,1e+07
5,"indep",10,10,0,1.2588482363055,0.0328956048241797,0.207475952413825,0.0498966357404214,0.212469154042896,0.0286711825021102,0.206043533077885,-0.00363213912739835,0.199987871665898,-13.743711641819,2.1918698475039,0.926,0.941,14497749,1e+07
0.2,"indep",20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1153.10037353383,466.035389716346,NA,NA,5081335,4200000
0.3,"indep",20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,680.427766368878,285.181833355711,NA,NA,6342262,5140000
0.4,"indep",20,20,0,-1.75327894865999,0.492709838223172,0.859113093803216,0.794650225737024,0.839301487018607,0.89266636445536,0.929008384115279,1.04411858138403,1.06899576022478,450.53767523585,239.248892975801,0.796387520525452,0.827586206896552,7578668,6090000
0.5,"indep",20,20,0,-1.29513358272291,0.218272679343753,0.62005328532238,0.407517268934591,0.501527292412825,0.50218459374343,0.573112332836442,0.646600388803616,0.691186670435592,293.62618660745,163.260727080404,0.860335195530726,0.912011173184358,9168448,7160000
0.6,"indep",20,20,0,-1.02011041426328,0.0824754685286739,0.610782431046886,0.215281262213699,0.375976735075085,0.305236905285173,0.420332475073073,0.4390835390639,0.505821192365395,94.1341043299647,126.561086094124,0.902794653705954,0.934386391251519,10781771,8230000
0.7,"indep",20,20,0,-0.817377860209195,-0.00962635630971298,0.567763108914875,0.0865231291567203,0.346710188386646,0.170880877080515,0.356333136625472,0.293158714590865,0.400639498185337,61.9533883119222,86.9604937852749,0.904,0.939428571428571,11701106,8750000
0.8,"indep",20,20,0,-0.654666659991881,-0.0699982223768888,0.553815787942629,-0.00204756673832085,0.363345894306076,0.0767697783119897,0.345077239406809,0.190922782220038,0.35022935300094,33.2395798968535,62.0721441530362,0.915766738660907,0.94060475161987,12581844,9260000
0.9,"indep",20,20,0,-0.51781874475336,-0.0687746669340328,0.492648699172768,-0.043046122660663,0.35773739257795,0.0285709140129816,0.328403891235309,0.130940125019593,0.313295221467339,8.75318455835254,65.9055048022781,0.94141829393628,0.957862281603289,13560920,9730000
1,"indep",20,20,0,-0.399253848108886,-0.0414932931024313,0.41495142599412,-0.0477122208525588,0.353840307427198,0.0151441586940367,0.321252804092549,0.101043537156366,0.297998695660106,3.68172744715152,46.3602895133104,0.942131979695431,0.953299492385787,14048579,9850000
1.5,"indep",20,20,0,0.0361603307898131,-0.0183429251294319,0.286021426881847,-0.0352122773281692,0.299113106657532,-0.00956910334350664,0.274689757073231,0.0278309365957322,0.247657463000997,-15.8348759332039,-4.64023543398089,0.932,0.941,14891503,1e+07
2,"indep",20,20,0,0.333914686287828,0.00384912350169364,0.197198108995564,0.00240411103220028,0.204795479326859,0.00792705811847966,0.196684161245128,0.0175244640585537,0.186858427958712,5.29673266494433,9.92168745078907,0.956,0.959,14967883,1e+07
3,"indep",20,20,0,0.746452048089074,0.0216326100932238,0.162559920327718,0.0300528786061418,0.165884649913071,0.0242835601750351,0.162375910147186,0.0144707085920098,0.157382482451434,-5.16238150048498,4.35580564943943,0.935,0.939,14969257,1e+07
4,"indep",20,20,0,1.03658596433312,0.00896164581866521,0.140530599638884,0.0201407285941728,0.142637156359042,0.0108897917390234,0.140228827564385,-0.00291341056940331,0.138037207958512,0.0353933440124798,13.1135625683012,0.956,0.96,14969152,1e+07
